Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2018-19,WA,Other services,Patient transport services,State and local government,State and local government,"26,34,06,511.73","27,63,82,476.09"
2018-19,WA,Primary health care,All other medications,Canadian Government,DoHAC and other,"10,25,79,783.00","10,45,98,537.96"
2018-19,WA,Primary health care,All other medications,Canadian Government,Premium rebates,"27,27,006.94","27,34,446.54"
2018-19,WA,Primary health care,All other medications,Non-government,Health insurance funds,"79,30,895.44","79,52,531.86"
2018-19,WA,Primary health care,All other medications,Non-government,Individuals,"1,06,51,09,965.90","1,08,90,17,725.69"
2018-19,WA,Primary health care,All other medications,Non-government,Other source of funds,"1,19,38,824.27","1,19,71,394.80"
2018-19,WA,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"2,71,48,011.35","3,06,64,211.55"
2018-19,WA,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"90,22,94,453.71","1,01,65,22,753.89"
2018-19,WA,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"14,40,29,979.58","16,26,84,688.31"
2018-19,WA,Primary health care,Community health and other,Canadian Government,DoHAC and other,"12,90,98,342.71","13,52,60,611.38"
2018-19,WA,Primary health care,Community health and other,Canadian Government,Premium rebates,"7,323.92","7,686.65"
2018-19,WA,Primary health care,Community health and other,Non-government,Health insurance funds,"21,299.99","22,354.91"
2018-19,WA,Primary health care,Community health and other,Non-government,Individuals,"2,41,97,799.34","2,53,96,233.69"
2018-19,WA,Primary health care,Community health and other,Non-government,Other source of funds,"3,22,355.97","3,38,321.16"
2018-19,WA,Primary health care,Community health and other,State and local government,State and local government,"86,78,10,984.25","91,07,90,698.09"
2018-19,WA,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"89,71,392.04","96,34,090.20"
2018-19,WA,Primary health care,Dental services,Canadian Government,DoHAC and other,"1,44,67,627.36","1,55,36,321.01"
2018-19,WA,Primary health care,Dental services,Canadian Government,Premium rebates,"11,06,92,939.85","11,88,69,598.13"
2018-19,WA,Primary health care,Dental services,Non-government,Health insurance funds,"32,19,25,888.65","34,57,05,887.53"
2018-19,WA,Primary health care,Dental services,Non-government,Individuals,"99,79,87,927.46","1,07,17,07,229.41"
2018-19,WA,Primary health care,Dental services,Non-government,Other source of funds,"34,80,951.90","37,38,082.61"
2018-19,WA,Primary health care,Dental services,State and local government,State and local government,"7,59,72,385.11","8,15,84,307.91"
2018-19,WA,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"3,13,04,642.38","3,35,89,756.71"
2018-19,WA,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"16,66,51,553.66","17,88,16,453.95"
2018-19,WA,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"4,01,78,420.37","4,31,11,285.19"
2018-19,WA,Primary health care,Other health practitioners,Non-government,Health insurance funds,"11,68,50,033.08","12,53,79,620.54"
2018-19,WA,Primary health care,Other health practitioners,Non-government,Individuals,"62,22,493.93","66,76,711.22"
2018-19,WA,Primary health care,Other health practitioners,Non-government,Other source of funds,"3,24,85,812.81","3,48,57,147.88"
2018-19,WA,Primary health care,Public health,Canadian Government,DoHAC and other,"15,02,76,315.53","15,76,46,834.95"
2018-19,WA,Primary health care,Public health,State and local government,State and local government,"19,69,60,542.36","20,66,63,237.11"
2018-19,WA,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"84,30,274.15","86,94,610.98"
2018-19,WA,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"91,36,27,063.12","94,23,09,387.46"
2018-19,WA,Primary health care,Unreferred medical services,Non-government,Individuals,"8,86,89,633.86","9,14,70,556.11"
2018-19,WA,Primary health care,Unreferred medical services,Non-government,Other source of funds,"12,46,33,577.44","12,85,41,545.86"
2018-19,WA,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"5,02,94,507.14","5,18,71,524.75"
2018-19,WA,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"1,30,15,93,901.44","1,34,24,06,240.85"
2018-19,WA,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"6,89,18,883.13","7,10,79,880.39"
2018-19,WA,Referred medical services,Referred medical services,Non-government,Health insurance funds,"20,04,35,300.81","20,67,20,082.51"
2018-19,WA,Referred medical services,Referred medical services,Non-government,Individuals,"31,30,96,411.18","32,29,13,756.66"
2018-19,WA,Research,Research,Canadian Government,Department of Veterans' Affairs,0,0
2018-19,WA,Research,Research,Canadian Government,DoHAC and other,"37,67,87,728.44","39,54,48,737.63"
2018-19,WA,Research,Research,Non-government,Individuals,"6,55,933.14","6,88,419.27"
2018-19,WA,Research,Research,Non-government,Other source of funds,"2,51,52,726.52","2,63,98,455.15"
2018-19,WA,Research,Research,State and local government,State and local government,"5,11,08,587.85","5,36,39,821.63"
2019-20,ACT,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"56,31,733.54","56,02,399.94"
2019-20,ACT,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"10,70,38,465.12","11,31,53,684.50"
2019-20,ACT,Capital expenditure,Capital expenditure,State and local government,State and local government,"10,30,00,000.00","10,53,35,631.14"
2019-20,ACT,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"3,23,99,354.96","3,34,39,890.26"
2019-20,ACT,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"2,18,29,253.21","2,30,49,007.47"
2019-20,ACT,Hospitals,Private hospitals,Canadian Government,Premium rebates,"4,17,46,200.79","4,30,86,918.71"
2019-20,ACT,Hospitals,Private hospitals,Non-government,Health insurance funds,"11,48,60,180.61","11,85,49,021.72"
2019-20,ACT,Hospitals,Private hospitals,Non-government,Individuals,"2,36,48,257.84","2,44,07,743.55"
2019-20,ACT,Hospitals,Private hospitals,Non-government,Other source of funds,"1,75,32,922.20","1,80,96,008.24"
2019-20,ACT,Hospitals,Private hospitals,State and local government,State and local government,"1,11,46,990.34","1,15,04,986.26"
2019-20,ACT,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"5,21,63,834.43","5,38,39,124.30"
2019-20,ACT,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"45,41,76,016.53","46,87,85,758.55"
2019-20,ACT,Hospitals,Public hospital services,Canadian Government,Premium rebates,"38,52,164.60","39,75,880.43"
2019-20,ACT,Hospitals,Public hospital services,Non-government,Health insurance funds,"1,05,98,816.48","1,09,39,207.30"
2019-20,ACT,Hospitals,Public hospital services,Non-government,Individuals,"1,00,41,584.69","1,03,64,079.48"
2019-20,ACT,Hospitals,Public hospital services,Non-government,Other source of funds,"1,45,72,187.82","1,50,40,187.14"
2019-20,ACT,Hospitals,Public hospital services,State and local government,State and local government,"84,95,89,008.14","87,68,74,346.25"
2019-20,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"1,21,600.00","1,26,367.34"
2019-20,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-1,21,600.00","-1,26,367.34"
2019-20,ACT,Other services,Administration,Canadian Government,Department of Veterans' Affairs,"5,12,73,945.82","5,49,29,950.52"
2019-20,ACT,Other services,Administration,Canadian Government,DoHAC and other,"3,38,14,982.40","3,51,12,146.70"
2019-20,ACT,Other services,Administration,Canadian Government,Premium rebates,"86,09,433.40","89,46,966.74"
2019-20,ACT,Other services,Administration,Non-government,Health insurance funds,"2,36,87,929.83","2,46,16,616.50"
2019-20,ACT,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,"1,20,856.21","1,29,623.05"
2019-20,ACT,Other services,Aids and appliances,Canadian Government,DoHAC and other,"97,29,512.06","1,04,35,285.57"
2019-20,ACT,Other services,Aids and appliances,Canadian Government,Premium rebates,"40,96,417.28","43,93,569.16"
2019-20,ACT,Other services,Aids and appliances,Non-government,Health insurance funds,"1,12,70,851.47","1,20,88,432.90"
2019-20,ACT,Other services,Aids and appliances,Non-government,Individuals,"2,21,57,130.69","2,37,64,396.90"
2019-20,ACT,Other services,Aids and appliances,Non-government,Other source of funds,"17,75,884.05","19,04,705.72"
2019-20,ACT,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,"4,71,09,678.09","4,86,22,649.05"
2019-20,ACT,Other services,Patient transport services,Canadian Government,DoHAC and other,"1,62,266.51","1,67,477.85"
2019-20,ACT,Other services,Patient transport services,Canadian Government,Premium rebates,"73,11,410.49","75,46,223.21"
2019-20,ACT,Other services,Patient transport services,Non-government,Health insurance funds,"2,01,16,559.42","2,07,62,621.36"
2019-20,ACT,Other services,Patient transport services,Non-government,Individuals,"27,275.36","28,151.33"
2019-20,ACT,Other services,Patient transport services,Non-government,Other source of funds,"8,86,412.78","9,14,880.75"
2019-20,ACT,Other services,Patient transport services,State and local government,State and local government,"3,46,34,950.16","3,57,47,283.68"
2019-20,ACT,Primary health care,All other medications,Canadian Government,DoHAC and other,"1,20,78,951.63","1,20,53,134.79"
2019-20,ACT,Primary health care,All other medications,Canadian Government,Premium rebates,"3,21,867.84","3,21,393.04"
2019-20,ACT,Primary health care,All other medications,Non-government,Health insurance funds,"8,85,584.75","8,84,278.37"
2019-20,ACT,Primary health care,All other medications,Non-government,Individuals,"12,47,19,298.70","12,81,39,509.31"
2019-20,ACT,Primary health care,All other medications,Non-government,Other source of funds,"15,68,488.01","15,66,174.25"
2019-20,ACT,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"1,89,26,163.36","2,09,09,437.55"
2019-20,ACT,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"15,30,79,712.46","16,88,32,610.31"
2019-20,ACT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"2,24,77,614.94","2,48,33,046.02"
2019-20,ACT,Primary health care,Community health and other,Canadian Government,DoHAC and other,"2,72,94,717.21","2,84,23,176.65"
2019-20,ACT,Primary health care,Community health and other,Canadian Government,Premium rebates,"3,106.53","3,228.32"
2019-20,ACT,Primary health care,Community health and other,Non-government,Health insurance funds,"8,547.27","8,882.37"
2019-20,ACT,Primary health care,Community health and other,Non-government,Other source of funds,"10,648.92","11,066.41"
2019-20,ACT,Primary health care,Community health and other,State and local government,State and local government,"29,54,71,796.68","30,70,79,817.25"
2019-20,ACT,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"23,20,131.43","24,14,796.65"
2019-20,ACT,Primary health care,Dental services,Canadian Government,DoHAC and other,"93,26,537.81","97,07,075.98"
2019-20,ACT,Primary health care,Dental services,Canadian Government,Premium rebates,"1,19,78,095.68","1,24,66,821.87"
2019-20,ACT,Primary health care,Dental services,Non-government,Health insurance funds,"3,29,56,441.70","3,43,01,119.26"
2019-20,ACT,Primary health care,Dental services,Non-government,Individuals,"11,37,38,100.98","11,83,78,804.39"
2019-20,ACT,Primary health care,Dental services,Non-government,Other source of funds,"2,16,704.08","2,25,545.97"
2019-20,ACT,Primary health care,Dental services,State and local government,State and local government,"1,52,33,598.15","1,58,55,154.25"
2019-20,ACT,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"7,77,69,272.90","8,33,14,483.48"
2019-20,ACT,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"3,88,93,519.00","4,16,66,757.65"
2019-20,ACT,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"45,33,414.78","48,56,662.50"
2019-20,ACT,Primary health care,Other health practitioners,Non-government,Health insurance funds,"1,24,73,203.10","1,33,62,584.41"
2019-20,ACT,Primary health care,Other health practitioners,Non-government,Individuals,"1,54,35,434.63","1,65,36,033.01"
2019-20,ACT,Primary health care,Other health practitioners,Non-government,Other source of funds,"90,67,720.73","97,14,279.70"
2019-20,ACT,Primary health care,Other health practitioners,State and local government,State and local government,"26,92,600.13","28,84,591.57"
2019-20,ACT,Primary health care,Public health,Canadian Government,DoHAC and other,"2,93,83,952.26","3,03,30,271.98"
2019-20,ACT,Primary health care,Public health,State and local government,State and local government,"4,18,14,654.00","4,31,57,570.35"
2019-20,ACT,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"1,07,47,915.76","1,15,06,355.15"
2019-20,ACT,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"14,64,38,878.14","15,67,65,100.50"
2019-20,ACT,Primary health care,Unreferred medical services,Non-government,Individuals,"3,24,45,200.06","3,47,34,733.97"
